tweet_id	user_id	created_at	text	start	end	span	drug
837822633886408704	184620477	2017-03-04	@HGmoms spoke with my nurse this morning! We adjusted the rate on my zofran pump. :)	69	75	zofran	zofran
535864537753591808	2551446475	2014-11-21	@Fragula I'm not allowe to take laxatives so I take fiber gummies, which are sexy and exotic because here they're fibre gummies. Oh la la!	32	41	laxatives	laxatives
535864537753591808	2551446475	2014-11-21	@Fragula I'm not allowe to take laxatives so I take fiber gummies, which are sexy and exotic because here they're fibre gummies. Oh la la!	52	65	fiber gummies	fiber gummies
871923045794848768	2325283274	2017-06-06	@TakinHearts_ 😂😂😂 I hope that don't happen to me I'm running until I get back on birth control	81	94	birth control	birth control
790389820065517568	1486889246	2016-10-24	Tums are triflin	0	4	Tums	tums
691132253338873856	252235856	2016-01-24	Bouta take some night quil 🤘🏽	16	26	night quil	nyquil
290665207246766083	24324898	2013-01-14	@RaynaJaye @jennabennabear sudafed	27	34	sudafed	sudafed
784911154032283649	1624005649	2016-10-09	when you get given the worst cough in the universe and all you can take is honey and lemon with a side of paracetamol 😑	106	117	paracetamol	paracetamol
554911377928630273	2799031971	2015-01-13	Should have taken Benadryl.. I need sleep!	18	26	Benadryl	benadryl
697613348993634308	177251944	2016-02-11	I woke up with the sorest throat and stiffest neck today. It actually feels worse now. Blah. #Advil #bed #ihateviruses	94	99	Advil	advil
761918382597824512	252235856	2016-08-06	I'm really chilling out on taking these damn Benadryls at night, they're becoming addictive.	45	54	Benadryls	benadryl
885494256907018241	273724560	2017-07-13	Then got an epidural 🙋‍♀️👐	12	20	epidural	epidural
692189393025699844	1959451166	2016-01-27	@pugzznotdrugz i hated depo, so i switched as soon as i could. And yeah! it works for up to 3 years and you don't even notice it. I've heard	23	27	depo	depo-provera
839017777230819328	184620477	2017-03-07	@slouisebuck sorry you're suffering. 😔 I lost 35 pounds in January due to HG. Now, I'm 22 weeks &amp; doing well with a zofran pump. I hope your	120	126	zofran	zofran
557169854608732161	2799031971	2015-01-19	Broke my water and started pitocin 😁	27	34	pitocin	pitocin
402841821443014657	18660643	2013-11-19	Okay, Soooo. . . I have a real-life friend who has started injections for IVF!!!! Please, please, please throw... http://t.co/KrYKsBH2ia	59	77	injections for IVF	IVF injection
728720210228809730	177251944	2016-05-06	@NewfiePete77 Watch the Tylenol ingestion with the day/night pills and acetaminophen together! #nerdalert	24	31	Tylenol	tylenol
728720210228809730	177251944	2016-05-06	@NewfiePete77 Watch the Tylenol ingestion with the day/night pills and acetaminophen together! #nerdalert	71	84	acetaminophen	acetaminophen
741863477375967232	252235856	2016-06-12	Yoooo, can somebody drop me off a Benadryl?	34	42	Benadryl	benadryl
464049969712730115	23474083	2014-05-07	Take advantage of the NEW @VPX_Sports Redline White Heat Preworkout Promo! http://t.co/qd65435j3B #vpx #preworkout #fitness #whiteheat	46	67	White Heat Preworkout	white heat preworkout
325426552093433856	18660643	2013-04-20	I did my first injection of Lupron today :D Feeling sooo proud of myself for being able to do it on my own!!! I... http://t.co/7YRBQ5bYNe	28	34	Lupron	lupron
861165753470402561	184620477	2017-05-07	Woke up abruptly and panicking because I heard beeping. I thought it was an alarm. It was just time for a syringe change.. hah! #zofranpump	129	135	zofran	zofran
586367370177875969	2774612401	2015-04-10	Prenatals are doing magic to my hair 😍😍	0	9	Prenatals	prenatal vitamins
328672545018609664	18660643	2013-04-29	I was definitely a lot faster prepping my Menopur. . . much smoother today, but my poor belly is starting to look... http://t.co/hVXAz9NVVv	42	49	Menopur	menopur
433646877469585408	2233368694	2014-02-12	@sunnygirl48176 That's fantastic! Did you take aspirin, shots, or nothing during pregnancy?	47	54	aspirin	aspirin
776423041119100928	15258494	2016-09-15	Y'all...18 mg a day is not enough to get through the week. #ConcertaProblems #ADDandPregnant #Thursday	60	68	Concerta	concerta
857804261182152705	184620477	2017-04-28	Sooooo.. my Zofran pump broke for the night. Relying on dissolvables until my new pump arrives. Here's to hoping this goes okay.	12	18	Zofran	zofran
586234830842687488	1671438583	2015-04-09	In quite a lot of pain painkilers don't touch it 😞	23	33	painkilers	painkillers
206788470667091969	27153940	2012-05-27	I really really want to cut my hair. These prenatals r keeping it growing and frankly... It's too damn hot 🔥	43	52	prenatals	prenatal vitamins
446247376677007360	17084008	2014-03-19	are the strawberry gaviscon any nicer than the mint ones?	19	27	gaviscon	gaviscon
815284796523851777	184620477	2016-12-31	I love finding out via google that I'm going to be sick for the next week while I'm on this antibiotic 🙃	92	102	antibiotic	antibiotic
559458644744364032	2333890110	2015-01-25	@_ccxvi_ yeah I kno but that epidural will have yu like wtf where the perks at	29	37	epidural	epidural
553049822911926272	2799031971	2015-01-08	I'm so scared my epidural will wear off right before I have to push 🙈😣	17	25	epidural	epidural
