NAME	LEXICON	STOP WORDS	SUBWORDS	RESULTS
Train3.tsv	Training	False	False	# of positive results: 110/89002
Train3.tsv	Training	False	True	# of positive results: 191/89002
Train3.tsv	Training	True	False	# of positive results: 225/89002
Train3.tsv	Training	True	True	# of positive results: 438/89002
Val3.tsv	Training	False	False	# of positive results: 48/38149
Val3.tsv	Training	False	True	# of positive results: 82/38149
Val3.tsv	Training	True	False	# of positive results: 94/38149
Val3.tsv	Training	True	True	# of positive results: 185/38149
Train3.tsv	RXNORM	False	False	# of positive results: 887/89002
Train3.tsv	RXNORM	False	True	# of positive results: 9609/89002
Train3.tsv	RXNORM	True	False	# of positive results: 887/89002
Train3.tsv	RXNORM	True	True	# of positive results: 9609/89002
Val3.tsv	RXNORM	False	False	# of positive results: 379/38149
Val3.tsv	RXNORM	False	True	# of positive results: 4194/38149
Val3.tsv	RXNORM	True	False	# of positive results: 379/38149
Val3.tsv	RXNORM	True	True	# of positive results: 4194/38149
Train3.tsv	Both	False	False	# of positive results: 982/89002
Train3.tsv	Both	False	True	# of positive results: 9752/89002
Train3.tsv	Both	True	False	# of positive results: 1095/89002
Train3.tsv	Both	True	True	# of positive results: 9963/89002
Val3.tsv	Both	False	False	# of positive results: 419/38149
Val3.tsv	Both	False	True	# of positive results: 4243/38149
Val3.tsv	Both	True	False	# of positive results: 465/38149
Val3.tsv	Both	True	True	# of positive results: 4333/38149
